review_order,notebook_name,phase_label,predecessor,successor,branch_type,major_change_type,status,confidence,milestone_group,notes
1,ecg-sim2real-datagenerator-mohamad-sabbagh.ipynb,early-monolithic-baseline,,ecg-sim2real-datagenerator-mohamad-sabbagh (1).ipynb,baseline,monolithic-provenance,superseded,medium,baseline-origin,Original provenance notebook; conceptually the root of the whole project even though later notebooks split its responsibilities.
2,ecg-sim2real-datagenerator-mohamad-sabbagh (1).ipynb,compact-proof-of-concept,ecg-sim2real-datagenerator-mohamad-sabbagh.ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (2).ipynb,consolidation,proof-of-concept-compaction,superseded,high,proof-of-concept,First successful compaction of the monolithic baseline into a rerunnable demonstration notebook.
3,ecg-sim2real-datagenerator-mohamad-sabbagh (2).ipynb,synthetic-to-real-staged-research,ecg-sim2real-datagenerator-mohamad-sabbagh (1).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (3).ipynb,refinement,staged-research-expansion,superseded,medium,staged-research,"First large split of the early research pipeline into reusable training, calibration, and detector-preparation stages."
4,ecg-sim2real-datagenerator-mohamad-sabbagh (3).ipynb,synthetic-to-real-staged-research,ecg-sim2real-datagenerator-mohamad-sabbagh (2).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (4).ipynb,refinement,staged-research-expansion,superseded,medium,staged-research,Second long-form research revision that tightens the page-localization branch and reduces some of the scaffolding duplication seen in notebook (2).
5,ecg-sim2real-datagenerator-mohamad-sabbagh (4).ipynb,synthetic-to-real-staged-research,ecg-sim2real-datagenerator-mohamad-sabbagh (3).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (5).ipynb,refinement,staged-research-expansion,superseded,medium,staged-research,Research revision that keeps the long-form structure but pivots the ending toward an explicit quality-boost inference factory.
6,ecg-sim2real-datagenerator-mohamad-sabbagh (5).ipynb,synthetic-to-real-staged-research,ecg-sim2real-datagenerator-mohamad-sabbagh (4).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (6).ipynb,refinement,staged-research-expansion,superseded,medium,staged-research,Long-form research notebook that upgrades the geometry side of the pipeline and hardens training for more difficult page conditions.
7,ecg-sim2real-datagenerator-mohamad-sabbagh (6).ipynb,synthetic-to-real-staged-research,ecg-sim2real-datagenerator-mohamad-sabbagh (5).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (7).ipynb,refinement,staged-research-expansion,superseded,medium,staged-research,Continuation of the geometry-aware branch that promotes the phase-2 work into a higher-fidelity phase-3 inference engine.
8,ecg-sim2real-datagenerator-mohamad-sabbagh (7).ipynb,architecture-hardening-combat-detector,ecg-sim2real-datagenerator-mohamad-sabbagh (6).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (8).ipynb,milestone,architecture-switch-and-combat-detector-hardening,superseded,medium,combat-hardening,Turns stronger segmentation architecture and combat-mode YOLO training into an explicit late-stage strategy.
9,ecg-sim2real-datagenerator-mohamad-sabbagh (8).ipynb,architecture-hardening-combat-detector,ecg-sim2real-datagenerator-mohamad-sabbagh (7).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb,refinement,architecture-hardening,superseded,medium,combat-hardening,Optimization-focused follow-up to notebook (7) that keeps the same overall structure but retunes the segmentation branch with hybrid loss and AdamW.
10,ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb,architecture-hardening-combat-detector,ecg-sim2real-datagenerator-mohamad-sabbagh (8).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (10).ipynb,milestone,real-image-pseudolabel-finetuning,superseded,medium,combat-hardening,Represents the last large single-model research notebook and the clearest phase-10 fine-tuning milestone.
11,ecg-sim2real-datagenerator-mohamad-sabbagh (10).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (11).ipynb,milestone,compact-inference-collapse,superseded,high,compact-deployment,Collapses the research branch into a compact Kaggle runner and starts the long deployment-hardening era.
12,ecg-sim2real-datagenerator-mohamad-sabbagh (11).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (10).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (12).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,"Compact submission-focused notebook that keeps only environment bootstrap, imports, renderer, final engine, and export validation."
13,ecg-sim2real-datagenerator-mohamad-sabbagh (12).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (11).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (13).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,"Compact submission-focused notebook that keeps only environment bootstrap, imports, renderer, final engine, and export validation."
14,ecg-sim2real-datagenerator-mohamad-sabbagh (13).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (12).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (14).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,"Compact submission-focused notebook that keeps only environment bootstrap, imports, renderer, final engine, and export validation."
15,ecg-sim2real-datagenerator-mohamad-sabbagh (14).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (13).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (15).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,Compact offline deployment notebook that preserves the fixed final engine while experimenting with different bootstrap tactics.
16,ecg-sim2real-datagenerator-mohamad-sabbagh (15).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (14).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (16).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,Compact offline deployment notebook that preserves the fixed final engine while experimenting with different bootstrap tactics.
17,ecg-sim2real-datagenerator-mohamad-sabbagh (16).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (15).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (17).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,Compact offline deployment notebook that preserves the fixed final engine while experimenting with different bootstrap tactics.
18,ecg-sim2real-datagenerator-mohamad-sabbagh (17).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (16).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (18).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,Compact offline deployment notebook that preserves the fixed final engine while experimenting with different bootstrap tactics.
19,ecg-sim2real-datagenerator-mohamad-sabbagh (18).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (17).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (19).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,Compact offline deployment notebook that preserves the fixed final engine while experimenting with different bootstrap tactics.
20,ecg-sim2real-datagenerator-mohamad-sabbagh (19).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (18).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (20).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,Compact offline inference notebook built to run on Kaggle without internet access.
21,ecg-sim2real-datagenerator-mohamad-sabbagh (20).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (19).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (21).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,Compact offline inference notebook built to run on Kaggle without internet access.
22,ecg-sim2real-datagenerator-mohamad-sabbagh (21).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (20).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (22).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,Compact offline inference notebook built to run on Kaggle without internet access.
23,ecg-sim2real-datagenerator-mohamad-sabbagh (22).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (21).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (23).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,Compact offline inference notebook built to run on Kaggle without internet access.
24,ecg-sim2real-datagenerator-mohamad-sabbagh (23).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (22).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (24).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,Compact offline inference notebook built to run on Kaggle without internet access.
25,ecg-sim2real-datagenerator-mohamad-sabbagh (24).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (23).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (25).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,Compact offline inference notebook built to run on Kaggle without internet access.
26,ecg-sim2real-datagenerator-mohamad-sabbagh (25).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (24).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (26).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,Compact offline inference notebook built to run on Kaggle without internet access.
27,ecg-sim2real-datagenerator-mohamad-sabbagh (26).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (25).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (27).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,Compact offline inference notebook built to run on Kaggle without internet access.
28,ecg-sim2real-datagenerator-mohamad-sabbagh (27).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (26).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (28).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,Compact offline inference notebook built to run on Kaggle without internet access.
29,ecg-sim2real-datagenerator-mohamad-sabbagh (28).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (27).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (29).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,Compact offline inference notebook built to run on Kaggle without internet access.
30,ecg-sim2real-datagenerator-mohamad-sabbagh (29).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (28).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (30).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,Compact offline inference notebook built to run on Kaggle without internet access.
31,ecg-sim2real-datagenerator-mohamad-sabbagh (30).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (29).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (31).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,Compact offline inference notebook built to run on Kaggle without internet access.
32,ecg-sim2real-datagenerator-mohamad-sabbagh (31).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (30).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (32).ipynb,milestone,self-contained-offline-refactor,superseded,medium,compact-deployment,Bridge notebook where the compact shell becomes helper-driven and more self-contained for no-internet Kaggle execution.
33,ecg-sim2real-datagenerator-mohamad-sabbagh (32).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (31).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (33).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,"Compact no-internet deployment notebook that keeps only the offline bootstrap, renderer, final engine, and schema check."
34,ecg-sim2real-datagenerator-mohamad-sabbagh (33).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (32).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (34).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,"Compact no-internet deployment notebook that keeps only the offline bootstrap, renderer, final engine, and schema check."
35,ecg-sim2real-datagenerator-mohamad-sabbagh (34).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (33).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (35).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,"Compact no-internet deployment notebook that keeps only the offline bootstrap, renderer, final engine, and schema check."
36,ecg-sim2real-datagenerator-mohamad-sabbagh (35).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (34).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (36).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,"Compact no-internet deployment notebook that keeps only the offline bootstrap, renderer, final engine, and schema check."
37,ecg-sim2real-datagenerator-mohamad-sabbagh (36).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (35).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (37).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,"Compact no-internet deployment notebook that keeps only the offline bootstrap, renderer, final engine, and schema check."
38,ecg-sim2real-datagenerator-mohamad-sabbagh (37).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (36).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (38).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,"Compact no-internet deployment notebook that keeps only the offline bootstrap, renderer, final engine, and schema check."
39,ecg-sim2real-datagenerator-mohamad-sabbagh (38).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (37).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (39).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,"Compact no-internet deployment notebook that keeps only the offline bootstrap, renderer, final engine, and schema check."
40,ecg-sim2real-datagenerator-mohamad-sabbagh (39).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (38).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (40).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,"Compact no-internet deployment notebook that keeps only the offline bootstrap, renderer, final engine, and schema check."
41,ecg-sim2real-datagenerator-mohamad-sabbagh (40).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (39).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (41).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,"Compact no-internet deployment notebook that keeps only the offline bootstrap, renderer, final engine, and schema check."
42,ecg-sim2real-datagenerator-mohamad-sabbagh (41).ipynb,compact-deployment-robustness,ecg-sim2real-datagenerator-mohamad-sabbagh (40).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (42).ipynb,refinement,compact-deployment-hardening,superseded,high,compact-deployment,Compact no-internet deployment notebook that adds one more explicit sanity cell after the usual five-cell inference flow.
43,ecg-sim2real-datagenerator-mohamad-sabbagh (42).ipynb,ensemble-competitor-branch,ecg-sim2real-datagenerator-mohamad-sabbagh (41).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (43).ipynb,branch,multi-checkpoint-ensemble-provenance,uncertain,medium,ensemble-branch,"Reopens training after the compact era to create the phase-10, EfficientNet-B3, and DeepLabV3+ competitor bundle. Conceptual ancestor is notebook (9) even though the primary predecessor in review order is notebook (41)."
44,ecg-sim2real-datagenerator-mohamad-sabbagh (43).ipynb,ensemble-competitor-branch,ecg-sim2real-datagenerator-mohamad-sabbagh (42).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (44).ipynb,consolidation,ensemble-branch-packaging,superseded,high,ensemble-branch,Packages notebook (42) into a compact runner so ensemble and benchmark variants can be compared quickly.
45,ecg-sim2real-datagenerator-mohamad-sabbagh (44).ipynb,ensemble-competitor-branch,ecg-sim2real-datagenerator-mohamad-sabbagh (43).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (45).ipynb,dead-end,baseline-benchmark-detour,superseded,high,ensemble-branch,Intentional baseline-only detour used to measure the old single-model path after the ensemble branch opened.
46,ecg-sim2real-datagenerator-mohamad-sabbagh (45).ipynb,ensemble-competitor-branch,ecg-sim2real-datagenerator-mohamad-sabbagh (44).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (46).ipynb,refinement,ensemble-branch-packaging,superseded,high,ensemble-branch,Compact offline deployment notebook that consumes the notebook (42) model bundle rather than training in place.
47,ecg-sim2real-datagenerator-mohamad-sabbagh (46).ipynb,ensemble-competitor-branch,ecg-sim2real-datagenerator-mohamad-sabbagh (45).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (47).ipynb,refinement,ensemble-branch-packaging,superseded,high,ensemble-branch,Compact offline deployment notebook that consumes the notebook (42) model bundle rather than training in place.
48,ecg-sim2real-datagenerator-mohamad-sabbagh (47).ipynb,ensemble-competitor-branch,ecg-sim2real-datagenerator-mohamad-sabbagh (46).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (48).ipynb,refinement,winner-oriented-benchmarking,superseded,high,ensemble-branch,Shifts from hybridization toward benchmarking around the current ensemble-era winner rather than introducing a new architecture.
49,ecg-sim2real-datagenerator-mohamad-sabbagh (48).ipynb,ensemble-competitor-branch,ecg-sim2real-datagenerator-mohamad-sabbagh (47).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (49).ipynb,dead-end,benchmark-lock-in-rerun,superseded,high,ensemble-branch,Near-duplicate benchmark lock-in rerun that confirms a deployment shell but does not add a new long-term component.
50,ecg-sim2real-datagenerator-mohamad-sabbagh (49).ipynb,effb3-integration-modular-finalization,ecg-sim2real-datagenerator-mohamad-sabbagh (48).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (50).ipynb,milestone,effb3-integration,superseded,high,effb3-finalization,Promotes the EfficientNet-B3 branch from notebook (42) into the active compact deployment path.
51,ecg-sim2real-datagenerator-mohamad-sabbagh (50).ipynb,effb3-integration-modular-finalization,ecg-sim2real-datagenerator-mohamad-sabbagh (49).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (51).ipynb,refinement,effb3-deployment-hardening,superseded,high,effb3-finalization,EffB3-focused inference notebook that also makes runtime warnings and timing decisions more explicit.
52,ecg-sim2real-datagenerator-mohamad-sabbagh (51).ipynb,effb3-integration-modular-finalization,ecg-sim2real-datagenerator-mohamad-sabbagh (50).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (52).ipynb,refinement,effb3-deployment-hardening,superseded,high,effb3-finalization,EffB3-focused inference notebook that hardens ID parsing and path resolution around the new checkpoint.
53,ecg-sim2real-datagenerator-mohamad-sabbagh (52).ipynb,effb3-integration-modular-finalization,ecg-sim2real-datagenerator-mohamad-sabbagh (51).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (53).ipynb,refinement,effb3-deployment-hardening,superseded,high,effb3-finalization,EffB3-focused inference notebook that promotes the branch to a more explicit V40 final engine.
54,ecg-sim2real-datagenerator-mohamad-sabbagh (53).ipynb,effb3-integration-modular-finalization,ecg-sim2real-datagenerator-mohamad-sabbagh (52).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (54).ipynb,refinement,effb3-deployment-hardening,superseded,high,effb3-finalization,EffB3-focused inference notebook that repairs the pid-to-image lookup layer without abandoning the V40 core.
55,ecg-sim2real-datagenerator-mohamad-sabbagh (54).ipynb,effb3-integration-modular-finalization,ecg-sim2real-datagenerator-mohamad-sabbagh (53).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (55).ipynb,refinement,diagnostic-coverage-check,superseded,high,effb3-finalization,"Adds explicit pid-to-image coverage diagnostics before inference, making data-index confidence part of runtime behavior."
56,ecg-sim2real-datagenerator-mohamad-sabbagh (55).ipynb,effb3-integration-modular-finalization,ecg-sim2real-datagenerator-mohamad-sabbagh (54).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (56).ipynb,refinement,quality-gated-v42-engine,superseded,high,effb3-finalization,Replaces the repaired V41 engine with a more heavily quality-gated V42 inference path.
57,ecg-sim2real-datagenerator-mohamad-sabbagh (56).ipynb,effb3-integration-modular-finalization,ecg-sim2real-datagenerator-mohamad-sabbagh (55).ipynb,,consolidation,modular-finalization,active,medium,effb3-finalization,"Final modular rewrite and the best candidate for the refactor starting point, although final checkpoint pairing still depends on runtime discovery."
